Pedigree	Year	Genotype	Plant	Locule_count_fruit_1	Locule_count_fruit_2	Locule_count_fruit_3	Locule_count_fruit_4	Locule_count_fruit_5	Locule_count_fruit_6	Locule_count_fruit_7	Locule_count_fruit_8	Locule_count_fruit_9	Locule_count_fruit_10	Locule_count_fruit_11	Locule_count_fruit_12	Locule_count_fruit_13	Locule_count_fruit_14	Locule_count_fruit_15	Locule_count_fruit_16	Locule_count_fruit_17	Locule_count_fruit_18	Locule_count_fruit_19	Locule_count_fruit_20	Average_locule_count
1231	2022	Solanum_aethiopicum_PI_666076	4	6	5	4	4	6	4	5	5	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7
1233	2022	Solanum_aethiopicum_PI_666078	1	4	5	6	4	5	5	4	5	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7
1233	2022	Solanum_aethiopicum_PI_666078	3	5	6	4	5	4	4	3	4	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7
1343	2023	Solanum_aethiopicum_PI_441851	1	4	4	5	5	5	5	5	4	6	6	5	4	4	6	4	5	4	4	4	5	4.7
1230	2022	Solanum_aethiopicum_PI_666076	7	4	5	5	4	5	4	4	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6
1240	2022	Solanum_aethiopicum_SC103	4	6	3	4	3	5	5	6	4	6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6
1240	2022	Solanum_aethiopicum_SC103	5	4	4	5	5	4	5	4	3	6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.4
1239	2022	Solanum_aethiopicum_SC103	5	3	3	4	6	4	4	4	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.3
1240	2022	Solanum_aethiopicum_SC103	1	5	4	4	5	5	5	4	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.3
1237	2022	Solanum_aethiopicum_SC102	1	4	5	4	4	3	5	3	4	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.1
1166	2022	Solanum_aethiopicum_PI_666075	7	6	3	4	4	4	4	4	4	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
1233	2022	Solanum_aethiopicum_PI_666078	5	5	4	4	4	4	4	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
1239	2022	Solanum_aethiopicum_SC103	4	4	4	5	3	5	3	5	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
1240	2022	Solanum_aethiopicum_SC103	2	4	3	3	5	4	4	4	3	4	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
1240	2022	Solanum_aethiopicum_SC103	7	4	4	5	4	3	3	5	4	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
1158	2022	Solanum_aethiopicum_PI_420230	1	4	4	4	4	4	3	4	5	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9
1158	2022	Solanum_aethiopicum_PI_420230	2	4	4	4	4	3	4	4	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8
1161	2022	Solanum_aethiopicum_PI_441879	3	3	3	3	5	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8
1239	2022	Solanum_aethiopicum_SC103	3	5	4	4	5	3	4	4	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8
1239	2022	Solanum_aethiopicum_SC103	2	4	3	4	5	4	3	3	4	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7
1239	2022	Solanum_aethiopicum_SC103	6	5	4	4	3	4	3	4	3	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7
1240	2022	Solanum_aethiopicum_SC103	3	4	3	4	3	4	4	3	3	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7
1158	2022	Solanum_aethiopicum_PI_420230	4	4	2	4	4	4	4	3	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6
1239	2022	Solanum_aethiopicum_SC103	1	3	4	3	4	4	3	4	3	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6
1239	2022	Solanum_aethiopicum_SC103	7	4	3	4	3	4	5	3	3	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6
1239	2022	Solanum_aethiopicum_SC103	8	4	3	4	3	4	5	3	3	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6
1240	2022	Solanum_aethiopicum_SC103	8	4	3	3	3	4	4	4	5	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6
1401	2022	ANG_1	8	4	4	4	3	4	3	3	3	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6
1158	2022	Solanum_aethiopicum_PI_420230	3	3	4	3	4	6	3	3	3	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4
1158	2022	Solanum_aethiopicum_PI_420230	8	3	3	3	3	4	4	3	4	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3
1240	2022	Solanum_aethiopicum_SC103	6	3	4	3	3	4	3	3	4	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3
1401	2022	ANG_1	12	3	2	4	3	3	3	3	3	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
1401	2022	ANG_1	16	3	2	3	3	2	2	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4
1158	2022	Solanum_aethiopicum_PI_420230	5	2	3	3	3	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3
1162	2022	Solanum_aethiopicum_PI_247828	1	2	2	2	2	2	2	2	4	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3
1162	2022	Solanum_aethiopicum_PI_247828	2	3	2	2	2	4	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3
1162	2022	Solanum_aethiopicum_PI_247828	5	4	2	2	2	2	2	2	2	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3
1401	2022	ANG_1	6	3	3	3	3	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3
1401	2022	ANG_1	10	3	2	2	2	3	2	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3
1401	2022	ANG_1	13	2	2	3	3	2	2	2	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3
1401	2022	ANG_1	3	2	2	2	2	3	2	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2
1401	2022	ANG_1	4	2	2	2	2	3	2	2	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2
1162	2022	Solanum_aethiopicum_PI_247828	3	2	2	3	2	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1
1162	2022	Solanum_aethiopicum_PI_247828	4	2	2	2	2	2	2	2	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1
1401	2022	ANG_1	15	2	2	2	2	2	2	2	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1
1401	2022	ANG_1	2	2	2	2	2	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
1401	2022	ANG_1	5	2	2	2	2	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
1401	2022	ANG_1	9	2	2	2	2	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
