Pedigree	Year	Genotype	Plant	Locule_count_fruit_1	Locule_count_fruit_2	Locule_count_fruit_3	Locule_count_fruit_4	Locule_count_fruit_5	Locule_count_fruit_6	Locule_count_fruit_7	Locule_count_fruit_8	Locule_count_fruit_9	Locule_count_fruit_10	Locule_count_fruit_11	Locule_count_fruit_12	Locule_count_fruit_13	Locule_count_fruit_14	Locule_count_fruit_15	Locule_count_fruit_16	Locule_count_fruit_17	Locule_count_fruit_18	Locule_count_fruit_19	Locule_count_fruit_20	Average_locule_count
1160	2022	Solanum_aethiopicum_PI_441879	7	7	9	6	6	7	7	5	5	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6
1194	2022	Solanum_aethiopicum_PI_441879	8	6	6	6	7	7	6	7	6	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6
1201	2022	Solanum_aethiopicum_PI_441885	6	7	6	6	6	6	7	8	7	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6
1214	2022	Solanum_aethiopicum_PI_441898	3	7	7	6	6	8	5	6	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6
1229	2022	Solanum_aethiopicum_PI_666076	2	8	5	8	6	5	8	6	7	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6
1231	2022	Solanum_aethiopicum_PI_666076	3	6	6	6	7	6	8	7	8	7	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6
1378	2023	Solanum_aethiopicum_PI_441906	3	7	5	7	6	8	7	7	5	6	5	6	6	8	7	8	7	5	8	7	6	6.55
1154	2022	Solanum_aethiopicum_PI_424859	6	7	7	8	6	6	7	9	4	4	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5
1203	2022	Solanum_aethiopicum_PI_441887	3	7	6	7	6	6	6	7	6	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5
1378	2023	Solanum_aethiopicum_PI_441906	4	8	7	6	7	6	7	7	6	5	6	7	5	7	7	7	6	6	6	7	6	6.45
1202	2022	Solanum_aethiopicum_PI_441886	2	7	5	7	5	6	6	6	7	6	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4
1202	2022	Solanum_aethiopicum_PI_441886	6	6	7	6	7	8	5	6	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4
1202	2022	Solanum_aethiopicum_PI_441886	7	6	7	6	6	6	7	6	7	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4
1229	2022	Solanum_aethiopicum_PI_666076	4	7	6	6	8	5	7	6	6	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4
1236	2022	Solanum_aethiopicum_SC102	1	6	6	7	7	6	7	5	7	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.4
1236	2022	Solanum_aethiopicum_SC102	4	7	6	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.333333333
1154	2022	Solanum_aethiopicum_PI_424859	4	10	6	6	6	6	6	6	6	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.3
1160	2022	Solanum_aethiopicum_PI_441879	4	7	7	6	6	6	7	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.3
1165	2022	Solanum_aethiopicum_PI_666075	5	6	7	5	6	7	7	7	5	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.3
1165	2022	Solanum_aethiopicum_PI_666075	6	7	6	7	6	6	6	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.3
1203	2022	Solanum_aethiopicum_PI_441887	2	6	6	6	6	7	7	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.3
1236	2022	Solanum_aethiopicum_SC102	3	6	6	6	6	6	7	7	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.3
1367	2023	Solanum_aethiopicum_PI_441895	1	6	7	6	7	9	6	6	6	6	5	6	6	7	6	6	8	6	6	5	6	6.3
1235	2022	Solanum_aethiopicum_SC102	2	6	7	7	5	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.25
1352	2023	Solanum_aethiopicum_PI_441877	3	6	6	6	7	5	6	7	5	6	8	7	6	NA	NA	NA	NA	NA	NA	NA	NA	6.25
1160	2022	Solanum_aethiopicum_PI_441879	1	7	7	7	4	7	7	7	5	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2
1165	2022	Solanum_aethiopicum_PI_666075	2	7	5	6	6	5	6	6	8	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2
1201	2022	Solanum_aethiopicum_PI_441885	5	7	7	6	6	7	6	6	6	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2
1202	2022	Solanum_aethiopicum_PI_441886	3	7	6	7	6	6	5	6	8	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2
1203	2022	Solanum_aethiopicum_PI_441887	7	6	7	6	5	6	6	6	6	6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2
1232	2022	Solanum_aethiopicum_PI_666078	1	8	5	6	6	6	6	6	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2
1235	2022	Solanum_aethiopicum_SC102	5	8	6	6	6	6	6	6	7	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2
1352	2023	Solanum_aethiopicum_PI_441877	1	6	6	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.166666667
1237	2022	Solanum_aethiopicum_SC102	6	6	4	6	6	7	9	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.111111111
1154	2022	Solanum_aethiopicum_PI_424859	2	7	6	7	6	6	6	5	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1154	2022	Solanum_aethiopicum_PI_424859	5	6	6	6	7	5	6	6	6	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1166	2022	Solanum_aethiopicum_PI_666075	5	6	6	5	7	6	5	6	6	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1201	2022	Solanum_aethiopicum_PI_441885	2	6	6	6	6	7	6	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1201	2022	Solanum_aethiopicum_PI_441885	8	6	7	6	6	6	5	8	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1202	2022	Solanum_aethiopicum_PI_441886	1	5	7	6	5	7	7	5	6	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1203	2022	Solanum_aethiopicum_PI_441887	1	6	6	8	6	6	5	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1203	2022	Solanum_aethiopicum_PI_441887	8	5	5	6	6	6	9	6	5	5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1237	2022	Solanum_aethiopicum_SC102	8	6	6	6	6	6	7	7	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.1
1154	2022	Solanum_aethiopicum_PI_424859	1	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1154	2022	Solanum_aethiopicum_PI_424859	3	6	6	7	5	6	5	6	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1160	2022	Solanum_aethiopicum_PI_441879	5	5	6	6	8	8	5	5	5	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1188	2022	Solanum_aethiopicum_PI_441875	2	5	8	8	5	5	6	6	7	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1188	2022	Solanum_aethiopicum_PI_441875	3	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1201	2022	Solanum_aethiopicum_PI_441885	3	6	5	9	6	6	5	5	5	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1201	2022	Solanum_aethiopicum_PI_441885	7	6	6	6	6	5	5	6	8	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1202	2022	Solanum_aethiopicum_PI_441886	5	6	5	6	7	6	7	6	5	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1220	2022	Solanum_aethiopicum_PI_441900	4	7	6	7	6	5	6	7	4	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1229	2022	Solanum_aethiopicum_PI_666076	7	5	5	7	7	7	5	6	6	7	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1231	2022	Solanum_aethiopicum_PI_666076	8	6	5	6	5	5	6	7	7	5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1235	2022	Solanum_aethiopicum_SC102	1	5	6	7	6	6	6	6	5	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1235	2022	Solanum_aethiopicum_SC102	4	8	8	5	6	5	5	5	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1237	2022	Solanum_aethiopicum_SC102	5	6	6	6	5	6	7	6	7	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1343	2023	Solanum_aethiopicum_PI_441851	2	6	5	5	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
1343	2023	Solanum_aethiopicum_PI_441851	4	7	7	7	7	5	6	6	5	6	7	5	7	5	5	6	6	6	5	6	6	6
1150	2022	Solanum_aethiopicum_PI_424860	8	5	5	6	6	5	7	6	6	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9
1152	2022	Solanum_aethiopicum_PI_424860	3	6	5	7	5	6	5	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9
1159	2022	Solanum_aethiopicum_PI_441879	4	8	6	7	6	6	5	6	6	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9
1159	2022	Solanum_aethiopicum_PI_441879	6	6	6	7	8	5	5	6	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9
1159	2022	Solanum_aethiopicum_PI_441879	8	6	6	6	7	5	5	7	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9
1236	2022	Solanum_aethiopicum_SC102	7	6	6	6	5	7	5	5	7	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9
1237	2022	Solanum_aethiopicum_SC102	4	6	6	7	5	6	5	6	6	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9
1367	2023	Solanum_aethiopicum_PI_441895	2	6	5	6	6	6	6	7	6	4	6	6	6	7	5	5	6	6	5	7	7	5.9
1188	2022	Solanum_aethiopicum_PI_441875	1	7	6	6	6	6	4	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.875
1325	2023	Solanum_aethiopicum_PI_424860	1	5	7	5	5	7	7	6	6	5	6	6	6	6	6	5	7	6	6	5	5	5.85
1234	2022	Solanum_aethiopicum_PI_666078	4	6	4	6	8	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.833333333
1150	2022	Solanum_aethiopicum_PI_424860	6	6	6	5	5	6	6	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1159	2022	Solanum_aethiopicum_PI_441879	3	5	7	5	6	5	6	6	6	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1165	2022	Solanum_aethiopicum_PI_666075	4	6	6	6	6	6	6	6	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1220	2022	Solanum_aethiopicum_PI_441900	1	5	6	6	6	5	7	6	5	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1229	2022	Solanum_aethiopicum_PI_666076	5	5	6	5	5	5	7	6	6	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1229	2022	Solanum_aethiopicum_PI_666076	8	6	6	6	5	6	5	7	7	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1230	2022	Solanum_aethiopicum_PI_666076	8	5	6	5	5	5	7	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1236	2022	Solanum_aethiopicum_SC102	2	6	6	6	7	6	6	5	6	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1236	2022	Solanum_aethiopicum_SC102	5	6	5	7	5	6	6	6	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1236	2022	Solanum_aethiopicum_SC102	6	8	6	5	5	6	5	6	6	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1236	2022	Solanum_aethiopicum_SC102	8	6	6	5	5	5	7	7	6	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8
1378	2023	Solanum_aethiopicum_PI_441906	2	7	5	6	5	6	6	6	6	6	6	6	5	6	5	6	5	8	5	6	5	5.8
1348	2023	Solanum_aethiopicum_PI_441873	2	6	5	6	6	5	6	6	5	5	6	6	5	6	5	6	6	7	6	6	6	5.75
1150	2022	Solanum_aethiopicum_PI_424860	5	6	5	6	7	6	5	6	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1151	2022	Solanum_aethiopicum_PI_424860	4	5	5	7	7	6	6	5	5	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1161	2022	Solanum_aethiopicum_PI_441879	6	5	7	7	6	6	5	5	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1166	2022	Solanum_aethiopicum_PI_666075	3	5	6	5	6	6	6	5	5	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1217	2022	Solanum_aethiopicum_PI_441899	1	5	6	5	7	5	5	6	7	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1219	2022	Solanum_aethiopicum_PI_441900	5	7	6	6	5	7	5	4	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1229	2022	Solanum_aethiopicum_PI_666076	3	5	5	6	6	5	5	7	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1230	2022	Solanum_aethiopicum_PI_666076	6	4	5	7	5	5	7	5	5	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1234	2022	Solanum_aethiopicum_PI_666078	8	5	6	6	6	5	5	6	7	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7
1325	2023	Solanum_aethiopicum_PI_424860	2	5	6	7	5	6	5	6	6	5	6	5	6	5	6	6	6	NA	NA	NA	NA	5.6875
1378	2023	Solanum_aethiopicum_PI_441906	1	7	5	5	4	5	5	5	5	6	7	7	5	6	7	6	6	6	6	5	5	5.65
1151	2022	Solanum_aethiopicum_PI_424860	2	5	6	6	7	5	5	5	6	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1151	2022	Solanum_aethiopicum_PI_424860	5	5	4	5	5	6	6	7	6	7	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1151	2022	Solanum_aethiopicum_PI_424860	7	6	6	5	6	5	7	5	6	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1152	2022	Solanum_aethiopicum_PI_424860	4	6	6	5	6	6	5	5	6	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1152	2022	Solanum_aethiopicum_PI_424860	6	6	6	6	6	6	5	5	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1152	2022	Solanum_aethiopicum_PI_424860	7	5	5	6	6	5	5	6	7	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1159	2022	Solanum_aethiopicum_PI_441879	5	6	5	6	6	5	6	5	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1165	2022	Solanum_aethiopicum_PI_666075	3	6	5	6	5	5	6	6	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1203	2022	Solanum_aethiopicum_PI_441887	6	7	5	5	5	6	5	6	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1220	2022	Solanum_aethiopicum_PI_441900	2	5	6	6	5	5	6	7	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1231	2022	Solanum_aethiopicum_PI_666076	6	5	6	5	5	6	5	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1231	2022	Solanum_aethiopicum_PI_666076	7	7	7	5	5	6	5	6	6	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1237	2022	Solanum_aethiopicum_SC102	7	6	5	5	6	5	5	5	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.6
1348	2023	Solanum_aethiopicum_PI_441873	1	5	6	6	6	5	6	5	7	6	5	5	6	5	6	5	NA	NA	NA	NA	NA	5.6
1343	2023	Solanum_aethiopicum_PI_441851	3	7	6	5	5	5	6	5	6	5	5	5	7	6	5	5	6	6	NA	NA	NA	5.588235294
1150	2022	Solanum_aethiopicum_PI_424860	7	7	6	5	5	7	6	5	5	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1151	2022	Solanum_aethiopicum_PI_424860	8	5	7	6	4	6	5	6	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1152	2022	Solanum_aethiopicum_PI_424860	2	6	5	5	5	6	5	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1152	2022	Solanum_aethiopicum_PI_424860	8	6	6	6	4	5	6	6	6	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1153	2022	Solanum_aethiopicum_PI_424860	3	6	6	6	6	5	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1155	2022	Solanum_aethiopicum_PI_636107	2	5	5	7	6	5	5	6	5	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1155	2022	Solanum_aethiopicum_PI_636107	3	6	6	5	5	6	6	6	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1155	2022	Solanum_aethiopicum_PI_636107	6	6	6	6	6	6	6	4	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1159	2022	Solanum_aethiopicum_PI_441879	1	5	5	5	5	5	6	5	7	7	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1165	2022	Solanum_aethiopicum_PI_666075	1	6	6	5	6	5	5	6	5	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1166	2022	Solanum_aethiopicum_PI_666075	8	6	5	5	6	5	6	6	4	7	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1219	2022	Solanum_aethiopicum_PI_441900	3	5	6	6	6	5	5	5	5	4	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1219	2022	Solanum_aethiopicum_PI_441900	8	6	6	5	6	5	5	6	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1220	2022	Solanum_aethiopicum_PI_441900	3	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1229	2022	Solanum_aethiopicum_PI_666076	6	5	6	5	5	5	7	5	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1233	2022	Solanum_aethiopicum_PI_666078	4	6	5	5	5	5	5	5	5	9	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1234	2022	Solanum_aethiopicum_PI_666078	3	5	5	6	5	8	4	5	6	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5
1161	2022	Solanum_aethiopicum_PI_441879	2	6	5	5	6	6	5	5	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.444444444
1150	2022	Solanum_aethiopicum_PI_424860	2	6	5	5	5	6	5	5	6	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
1150	2022	Solanum_aethiopicum_PI_424860	3	5	7	5	5	6	5	5	5	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
1151	2022	Solanum_aethiopicum_PI_424860	1	4	6	5	7	5	6	5	6	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
1151	2022	Solanum_aethiopicum_PI_424860	3	5	6	6	5	6	5	6	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
1151	2022	Solanum_aethiopicum_PI_424860	6	5	6	5	5	6	5	6	5	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
1155	2022	Solanum_aethiopicum_PI_636107	4	5	5	6	5	5	6	5	6	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
1155	2022	Solanum_aethiopicum_PI_636107	5	5	5	6	6	5	5	5	6	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
1155	2022	Solanum_aethiopicum_PI_636107	7	6	5	5	6	7	5	5	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.4
